keyword,bidding 1st ,bidding 2st ,bidding 3st ,bidding 4st ,bidding 5st ,bidding 6st ,bidding 7st ,bidding 8st ,bidding 9st ,bidding 10st 
마스터캠,3660,3290,3010,2680,2320,2040,1810,1610,1410,1220
특수볼트,1450,1360,1260,1110,970,850,750,670,610,550
CNC제작,740,520,400,320,250,220,190,170,140,110
소형CNC조각기,2170,1730,1510,1220,1090,980,800,670,520,400
샤프트가공,870,790,550,480,440,400,360,330,300,270
CNC자동선반,1520,1370,1340,1280,1210,1110,1040,990,970,950
CNC선반프로그램,190,150,110,70,70,70,70,70,70,70
델타인버터,2350,980,700,530,440,390,340,310,270,250
환봉가공,690,250,190,150,120,100,90,90,80,70
MCT학원,2620,2380,2060,1670,1300,1060,780,460,230,100
아크릴가공,3550,3190,2930,2730,2520,2320,2130,1970,1840,1740
위탁교육,19130,17690,16360,14790,13150,11710,10420,9220,8190,7360
금형기술사,320,260,190,110,70,70,70,70,70,70
밀링가공,1660,1500,1420,1350,1230,1160,1070,970,880,820
SUS가공,2830,2220,2040,1820,1680,1640,1540,1410,1310,1230
기계가공,2600,2380,2280,2140,1980,1840,1730,1630,1520,1420
중고CNC조각기,400,320,280,240,210,190,170,140,120,100
테프론가공,4420,4210,3970,3860,3680,3330,3020,2560,2150,1840
CNC선반학원,1160,900,660,260,110,100,100,70,70,70
기계부품,960,860,810,780,750,700,650,600,550,510
기계교육,2070,1190,670,310,190,100,80,70,70,70
정밀,1200,600,440,380,330,310,280,240,210,160
CNC복합기,740,580,440,400,370,340,290,270,250,230
미니CNC조각기,560,440,360,300,270,230,200,170,140,110
CAD/CAM,2050,1860,1630,1410,1220,1040,830,670,570,500
부품가공,3000,2890,2730,2550,2380,2210,2130,2060,1980,1900
CNC가공기,2930,1540,560,450,430,410,380,360,330,300
사출금형설계,2950,2830,2580,2380,2180,1980,1840,1710,1580,1480
수원CAD,6820,6120,5340,5130,4940,4760,3590,2800,1540,1080
수원CAD학원,10530,7580,6130,5660,5480,5400,4960,4660,4260,3640
CNC선반가공,1930,1760,1700,1640,1580,1540,1470,1390,1280,1180
CAD국비지원,7550,7320,6860,6020,5400,4880,4500,4170,3870,3620
알루미늄가공,7320,7100,6900,6570,6150,5800,5450,5060,4570,4080
마스타캠,1460,1280,1170,1080,990,890,800,690,590,510
레이저마킹기,51980,43820,36470,31030,26040,22860,20270,18140,16490,15320
CNC가공프로그램,350,190,130,80,70,70,70,70,70,70
판넬절단기,490,370,300,190,140,110,90,80,80,70
CNC업체,850,520,440,390,310,250,220,200,190,180
오토캐드강의,4600,4280,4150,3940,3770,3640,3470,3280,3160,3060
사각파이프조인트,770,540,400,340,300,240,180,130,110,100
금속가공업체,1310,1240,880,840,800,720,680,630,610,590
아크릴표찰,2540,2100,1930,1830,1730,1560,1350,1140,1000,890
자동선반가공,740,490,450,330,280,250,220,190,170,160
마스터캠인강,70,70,70,70,70,70,70,70,70,70
고3위탁교육,20320,18470,16800,15630,13990,12170,10530,9030,7740,6580
CNC선반자격증,530,470,340,170,110,110,100,70,70,70
LM가이드,2070,1710,1570,1510,1460,1420,1370,1310,1210,1100
캐드교육,7600,6590,6340,6140,5850,5550,5330,5050,4800,4580
MC나일론가공,1290,1050,500,350,290,210,170,140,110,90
신주가공,1450,760,660,600,530,490,410,340,300,270
파이버레이저,12890,11380,10300,9390,8420,7570,6880,6220,5730,5250
머시닝센터학원,540,400,130,80,80,70,70,70,70,70
나무각인,1150,900,670,620,580,530,490,430,380,330
CNC공작기계,1690,1430,1320,1190,940,750,570,490,430,380
목업제작,9360,8920,8650,8280,7820,7390,6960,6450,5870,5360
아크릴수조,1050,770,650,590,540,510,460,420,390,360
선반가공업체,700,370,280,230,190,160,140,130,110,110
레이저가공,8660,7460,7120,6880,6680,6520,6360,6200,6000,5770
