relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
디자인과졸업작품,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
구리가공,40,30,0.8,0.7,2.2,2.3,13,중간
알루미늄부품가공,< 10,< 10,1.0,0.3,20.52,16.67,8,중간
제품디자인제작,< 10,< 10,0.0,0.0,0.0,0.0,15,높음
포항3D프린터,10,20,1.0,0.3,10.0,1.67,3,높음
익산3D프린터,10,< 10,0.0,0.0,0.0,0.0,3,높음
디자인서비스,10,< 10,0.0,0.0,0.0,0.0,14,높음
제품거치대,50,20,0.6,0.5,1.29,2.09,5,중간
정밀금형,80,10,0.9,0.0,1.22,0.0,15,높음
악기디자인,< 10,20,0.0,0.8,0.0,5.0,1,중간
플라스틱제품설계,20,20,0.8,0.0,3.23,0.0,15,높음
3D프린터금형,30,20,0.7,0.0,2.3,0.0,3,높음
PC재단,50,40,1.0,0.8,1.96,2.03,11,중간
천안3D프린터,50,40,0.6,0.0,1.1,0.0,14,높음
구미3D프린터,30,30,0.0,0.0,0.0,0.0,3,높음
테프론재질,50,40,0.0,0.3,0.0,0.82,3,높음
금속3D프린터,320,290,8.0,14.3,2.57,5.36,15,높음
시제품제작지원사업,120,100,1.3,3.3,1.24,3.59,15,높음
알미늄판가공,< 10,10,0.3,0.3,8.34,3.34,3,높음
제품도면,150,50,0.9,0.7,0.62,1.39,15,높음
플라스틱공장,170,300,3.4,9.3,2.13,3.28,15,중간
알루미늄절곡,220,190,4.2,3.5,2.06,1.95,15,중간
자동제어,1100,1150,4.1,4.7,0.41,0.44,15,중간
알루미늄레이저가공,30,40,1.2,0.3,2.99,0.77,13,중간
화장품목업,50,10,0.7,0.3,1.32,2.23,11,중간
3D프린터샘플,50,30,1.0,2.0,2.31,7.15,13,중간
3D역설계,20,10,0.5,1.7,2.03,11.91,15,높음
인천3D프린터,20,10,0.2,0.5,0.81,2.78,15,높음
설계알바,40,40,1.1,0.0,2.49,0.0,15,높음
전자제품개발,20,20,0.1,0.3,0.64,1.67,15,높음
3D프린팅가격,100,110,3.7,10.0,3.7,11.37,15,높음
문앤파트너스,40,50,2.7,1.4,7.21,2.65,3,낮음
부스바제작,50,30,2.2,0.7,4.18,1.97,11,중간
3D렌더링업체,< 10,< 10,0.2,0.0,10.0,0.0,15,높음
모델링외주,40,20,0.6,1.3,1.47,6.07,15,높음
대형3D프린팅,10,10,0.4,0.3,4.0,3.04,15,높음
테프론파이프,60,50,3.5,0.7,5.62,1.31,12,중간
일풍산업,30,10,0.0,0.0,0.0,0.0,1,중간
플라스틱제작업체,10,< 10,0.1,0.0,1.22,0.0,15,높음
모델링,3310,3110,0.7,1.3,0.03,0.05,15,중간
알루미늄에칭,40,30,1.2,0.0,3.04,0.0,10,중간
부산3D프린터업체,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
기계가공,310,230,2.0,3.3,0.72,1.48,15,중간
쓰리디프린터,160,610,2.1,24.3,1.26,4.25,15,높음
3DSCAN,50,30,0.7,0.3,1.39,1.05,15,높음
